,SimNum,Iteration,Period,Fidelity,Agent,X,Y,Sample
0,0,1,0,S,0.0,0.5,0.0,0.6180565876565713
1,0,1,0,S,1.0,0.76,0.24,0.6164492168278637
2,0,1,0,S,2.0,0.24,0.26,0.8952547113871591
3,0,1,0,S,3.0,0.0,0.5,0.2799004225652901
4,0,2,0,S,0.0,1.0,0.0,0.4712929381824774
5,0,2,0,S,1.0,1.0,0.5,0.029374814249017264
6,0,2,0,S,2.0,0.5,0.5,0.07169816954987032
7,0,2,0,S,3.0,0.0,1.0,-0.026940235755637282
8,0,3,0,S,2.0,0.0,0.0,0.4214804105421621
9,0,3,0,S,3.0,0.5,1.0,0.03434377413281647
10,0,4,0,S,3.0,1.0,1.0,0.07627112860411163
11,0,5,0,S,3.0,0.76,0.76,-0.10806753722166884
12,0,6,0,S,3.0,0.24,0.76,0.05555162447242139
13,0,9,1,S,0.0,0.76,0.0,0.4907460749245957
14,0,9,1,S,1.0,0.5,0.24,0.4869428898921148
15,0,9,1,S,2.0,0.0,0.24,0.4501682814053537
16,0,9,1,S,3.0,0.76,1.0,0.08503205603946891
17,0,10,1,S,0.0,1.0,0.24,0.4252334677624195
18,0,10,1,S,2.0,0.24,0.0,0.7464579381111944
19,0,10,1,S,3.0,0.24,1.0,0.1386138870831377
20,0,11,1,S,2.0,0.24,0.52,0.4292143235637402
21,0,11,1,S,3.0,0.5,0.76,0.20891338749029034
22,0,12,1,S,2.0,0.0,0.76,0.15807862554070318
23,0,12,1,S,3.0,0.76,0.5,0.32703524782493504
24,0,13,1,S,3.0,1.0,0.76,0.06685433645317497
25,0,25,2,S,0.0,1.0,0.0,0.4712929381824774
26,0,25,2,S,1.0,0.52,0.0,0.6527166422001438
27,0,25,2,S,2.0,0.0,0.0,0.4214804105421621
28,0,25,2,S,3.0,0.84,0.84,-0.028149329590066025
29,0,26,2,S,0.0,0.84,0.0,0.2338837870636625
30,0,26,2,S,1.0,0.66,0.0,0.26114863767407576
31,0,26,2,S,2.0,0.0,0.0,0.4214804105421621
32,0,26,2,S,3.0,1.0,1.0,0.07627112860411163
33,0,27,2,S,0.0,1.0,0.16,0.40492710787604
34,0,27,2,S,1.0,0.48,0.16,0.6669878494507127
35,0,27,2,S,2.0,0.0,0.18,0.6633384896693195
36,0,27,2,S,3.0,0.84,1.0,0.19620157166516336
37,0,28,2,S,0.0,0.86,0.16,0.6141437366726781
38,0,28,2,S,1.0,0.38,0.38,0.4042296839410565
39,0,28,2,S,2.0,0.0,0.38,0.510791110387303
40,0,28,2,S,3.0,0.16,1.0,0.2738474792756447
41,0,29,2,S,0.0,1.0,0.36,0.2565034791187182
42,0,29,2,S,1.0,0.34,0.16,0.8861167029725353
43,0,29,2,S,2.0,0.0,0.52,0.29577863404627186
44,0,29,2,S,3.0,0.34,1.0,0.1617645286149917
45,0,30,2,S,0.0,1.0,0.84,-0.20850489309973969
46,0,30,2,S,1.0,0.36,0.0,0.7061121782545199
47,0,30,2,S,2.0,0.18,0.34,0.5822183104610759
48,0,30,2,S,3.0,0.14,0.86,0.1906366981047393
49,0,31,2,S,0.0,1.0,0.66,-0.15131005735074415
50,0,31,2,S,2.0,0.16,0.16,1.013109839445904
51,0,31,2,S,3.0,0.0,0.84,0.12414214867883384
52,0,32,2,S,0.0,1.0,0.52,-0.10458758501134112
53,0,32,2,S,2.0,0.16,0.0,0.6861622106198051
54,0,32,2,S,3.0,0.16,0.5,0.4349413609054685
55,0,33,2,S,0.0,0.8,0.68,-0.03589945168775758
56,0,33,2,S,3.0,0.62,0.62,0.11885989210777816
57,0,34,2,S,0.0,0.84,0.54,-0.12352510694078585
58,0,34,2,S,3.0,0.36,0.7000000000000001,0.04826541988744738
59,0,35,2,S,0.0,0.84,0.36,0.4088543113055898
60,0,35,2,S,3.0,0.16,0.66,0.18308929684157824
61,0,36,2,S,0.0,0.66,0.34,0.4308855539825345
62,0,36,2,S,3.0,0.44,0.54,0.031683452267729464
63,0,37,2,S,0.0,0.64,0.16,0.4962020619442412
64,0,37,2,S,3.0,0.0,0.66,0.1877932378513884
65,0,38,2,S,3.0,0.0,1.0,-0.026940235755637282
66,0,39,2,S,3.0,0.36,0.84,0.2930540598163437
67,0,40,2,S,3.0,0.44,1.0,-0.11878451439442053
68,0,41,2,S,3.0,0.64,1.0,-0.08589945018835472
69,0,42,2,S,3.0,0.56,0.84,-0.038363829574429006
70,0,57,3,S,0.0,1.0,0.32,0.17025328621289346
71,0,57,3,S,1.0,0.4,0.0,0.8500454046349019
72,0,57,3,S,2.0,0.0,0.38,0.510791110387303
73,0,57,3,S,3.0,0.4,0.84,-0.0116747025376034
74,0,58,3,S,0.0,1.0,0.0,0.4712929381824774
75,0,58,3,S,1.0,0.4,0.0,0.8500454046349019
76,0,58,3,S,2.0,0.0,0.38,0.510791110387303
77,0,58,3,S,3.0,0.18,1.0,0.2602280501009101
78,0,59,3,S,0.0,0.8,0.18,0.7934625799959656
79,0,59,3,S,1.0,0.38,0.18,0.7867303751858538
80,0,59,3,S,2.0,0.0,0.16,0.6510132444332222
81,0,59,3,S,3.0,0.0,1.0,-0.026940235755637282
82,0,60,3,S,0.0,0.8200000000000001,0.42,0.20361847039617187
83,0,60,3,S,1.0,0.38,0.16,0.6898335742324586
84,0,60,3,S,2.0,0.0,0.2,0.5770056321915686
85,0,60,3,S,3.0,0.0,0.62,0.18599022401191867
86,0,61,3,S,0.0,0.8200000000000001,0.62,-0.042042118559462036
87,0,61,3,S,1.0,0.6,0.42,0.145799919919712
88,0,61,3,S,2.0,0.18,0.16,1.0681167049347533
89,0,61,3,S,3.0,0.0,0.84,0.12414214867883384
90,0,62,3,S,0.0,1.0,0.6,0.07244725181588951
91,0,62,3,S,1.0,0.56,0.36,0.2396752704438526
92,0,62,3,S,2.0,0.22,0.0,0.8984628871551839
